Time,PM25,PM10,Temperature,Humidity,Pressure
1707952988.5087018,0,1,23.135859375,48.67484802187336,1004.8617620036936
1707952989.522487,0,1,23.1380078125,48.66905944368645,1004.8635393129058
1707952990.5359433,0,0,23.1409375,48.68153057215903,1004.8700321903939
1707952991.5492554,0,0,23.1430859375,48.68179631290727,1004.8683662374168
1707952992.5624921,0,0,23.145625,48.67605580141132,1004.8690580508415
1707952993.5757349,0,0,23.1477734375,48.68237613169868,1004.8605054792295
1707952994.5901766,0,1,23.1493359375,48.68862423809233,1004.8492769640856
1707952995.6038482,0,1,23.1505078125,48.694824261044566,1004.8425771836736
1707952996.6179054,0,1,23.1528515625,48.69511424555082,1004.8395074450631
1707952997.6317055,0,1,23.1540234375,48.67104012007158,1004.8310859404922
1707952998.6449506,0,1,23.1555859375,48.67123337461216,1004.8353521387553
1707952999.6578126,0,0,23.1565625,48.671354160308674,1004.8300558349641
1707953000.671144,0,0,23.156953125,48.6350797713213,1004.8289703052053
1707953001.6844313,0,0,23.1565625,48.622925576198206,1004.8248908526075
1707953002.6976957,0,0,23.1579296875,48.56862802072699,1004.8271173044974
1707953003.7110639,0,0,23.1575390625,48.55042800268461,1004.8299245020795
1707953004.7244213,0,0,23.160078125,48.526541835885304,1004.8254510067168
1707953005.7383935,0,0,23.161640625,48.50253826813558,1004.8211088178311
1707953006.7517028,0,0,23.163203125,48.484585834552576,1004.8167665979053
1707953007.7650256,0,0,23.164765625,48.47268273505421,1004.8089809839688
1707953008.779679,0,0,23.166328125,48.454733195622424,1004.8080820649332
1707953009.7939868,0,0,23.1669140625,48.424572514973846,1004.8142012933077
1707953010.808804,0,0,23.1684765625,48.424765028556145,1004.8133023687458
1707953011.8237267,0,0,23.16984375,48.41888748266507,1004.8206938497507
1707953012.838354,0,0,23.16984375,48.3947055536464,1004.822415545283
1707953013.8529716,0,0,23.1704296875,48.39477771299441,1004.8216480242181
1707953014.8671627,0,0,23.1731640625,48.37093567425391,1004.8209357280585
1707953015.880695,0,0,23.17296875,48.35277971115809,1004.8188959674543
1707953016.8940144,0,0,23.1747265625,48.3469524687721,1004.8200367674092
1707953017.9073665,0,0,23.17609375,48.328991162847075,1004.8222631604226
1707953018.9207253,0,0,23.1770703125,48.32306852330045,1004.8186882980548
1707953019.934144,0,0,23.17921875,48.31729021684819,1004.8273520632474
1707953020.947483,0,0,23.179609375,48.30525366817036,1004.8245447333263
1707953021.9608245,0,0,23.18078125,48.29331398960594,1004.8298965170115
1707953022.9742815,0,0,23.18078125,48.28727239803536,1004.8195661693239
1707953023.985517,0,0,23.181171875,48.26919687417933,1004.8184805512622
1707953024.9967048,0,0,23.181171875,48.26919687417933,1004.8167588260284
1707953026.0079026,0,0,23.1813671875,48.257139539944276,1004.8170768786321
1707953027.0192366,0,0,23.181953125,48.25721154652595,1004.8163093093183
1707953028.0306315,0,0,23.1837109375,48.25138717969116,1004.8174500477226
1707953029.0440779,0,0,23.18546875,48.26972503463209,1004.8185907785897
1707953030.0578864,0,0,23.1860546875,48.257715604984185,1004.8195449332804
1707953031.0713234,0,0,23.185859375,48.2637322229335,1004.8157834064682
1707953032.084618,0,0,23.1860546875,48.269797058355564,1004.8161014569873
1707953033.0978794,0,0,23.185859375,48.26977305039859,1004.8054529831954
1707953034.1112225,0,0,23.185859375,48.26977305039859,1004.8054529831954
1707953035.1245298,0,0,23.18546875,48.27576606365612,1004.7979299460713
