Time,Pm25,Pm100,Temp,Gas,Humidity,Pressure,Altitude
1707956907.1143434,0,0,24.1001171875,119573,42.30886967785018,1005.1056265332679,68.02920781937803
1707956908.1276119,0,0,24.1008984375,120885,42.30300974483323,1005.1120670020526,67.97523511439707
1707956909.1409109,0,0,24.101875,122651,42.30311875512718,1005.1031894964804,68.04963085725011
1707956910.1542683,0,0,24.102265625,124207,42.291268665652595,1005.1003329731552,68.0735693586079
1707956911.1676302,0,0,24.1012890625,125624,42.27332077717344,1005.1057380596294,68.02827319878587
1707956912.1809335,0,0,24.099140625,126981,42.26713524521226,1005.1006143319959,68.07121148674435
1707956913.194305,0,0,24.0977734375,129310,42.26103712213071,1005.1071396687557,68.01652734842271
1707956914.2076519,0,0,24.097578125,130170,42.24912475183964,1005.1050955057352,68.03365797258988
1707956915.221438,0,0,24.0971875,131432,42.23719147152037,1005.102743386817,68.05336938314552
1707956916.2354608,0,0,24.0981640625,132320,42.23135579039114,1005.1077555851839,68.01136581216912
1707956917.2498455,0,0,24.0997265625,134132,42.219641463863724,1005.1050106197159,68.03436934038444
1707956918.2646375,0,0,24.1008984375,134748,42.2197720694375,1005.1085945742979,68.00433487421262
1707956919.2794895,0,0,24.1001171875,135786,42.213741062412936,1005.1056265332679,68.02920781937803
1707956920.2941983,0,0,24.0997265625,136628,42.201810309930615,1005.1050106197159,68.03436934038444
1707956921.3078055,0,0,24.100703125,137911,42.20786262772991,1005.1082866169118,68.00691563333531
1707956922.3212655,0,0,24.1008984375,139328,42.1900544742043,1005.1207480732057,67.90248605618723
1707956923.3349898,0,0,24.0997265625,141000,42.1958670191525,1005.1119554623832,67.97616984174898
1707956924.348553,0,0,24.0993359375,140775,42.19582350386953,1005.1165481744677,67.93768195780805
1707956925.361789,0,0,24.1008984375,141453,42.1900544742043,1005.1224842877393,67.88793630306036
1707956926.375169,0,0,24.100703125,143176,42.17814718071679,1005.1221763260723,67.89051706918158
1707956927.3883896,0,0,24.100703125,143878,42.19003271872322,1005.1308573975791,67.81776860046354
1707956928.4017038,0,0,24.0997265625,144823,42.17803842841698,1005.1310537880476,67.81612282957792
1707956929.415865,0,0,24.0981640625,146023,42.171922010193036,1005.1268538626514,67.85131866239944
1707956930.4292717,0,0,24.0981640625,147490,42.16003781735467,1005.1268538626514,67.85131866239944
1707956931.442694,0,0,24.098359375,147490,42.160059560042214,1005.1254256186938,67.86328752964734
1707956932.4560196,0,0,24.099140625,148109,42.16608853307395,1005.1336023147167,67.79476595622506
1707956933.4705868,0,0,24.09875,149872,42.154161262194336,1005.1295139643297,67.82902670642271
1707956934.4853082,0,0,24.095625,150128,42.15381342216291,1005.1280589329267,67.84122002989747
1707956935.5001044,0,0,24.093671875,150512,42.18330676276028,1005.1319240618992,67.80882985468709
1707956936.515015,0,0,24.093671875,152597,42.19519255193981,1005.1336602579473,67.79428038746197
1707956937.5263174,0,0,24.093671875,152730,42.20113576693105,1005.1371326503468,67.76518151151008
1707956938.5378172,0,0,24.0950390625,153261,42.19534484731135,1005.1410246344342,67.7325665264496
1707956939.5489101,0,0,24.0971875,153796,42.21341459073126,1005.1426760965487,67.71872723761146
1707956940.5609837,0,0,24.0977734375,154199,42.20159271081855,1005.1453362123632,67.69643544730133
1707956941.5722492,0,0,24.098359375,154605,42.183828809899154,1005.1375790773906,67.76144042951786
1707956942.5852022,0,0,24.1001171875,155286,42.18996745254252,1005.1490318531946,67.66546602892852
1707956943.5966496,0,0,24.099140625,155973,42.189858676449916,1005.1457557912223,67.6929193777035
1707956944.6087892,0,0,24.0977734375,156667,42.15405256098187,1005.150544835732,67.65278728306944
